1.督脈 ,,,,,,,
経絡, 経穴,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
任脈 ,気海 ,下腹部、前正中線上、臍中央の[[下方１寸５分 ]], ,白線 ,肋間N(前皮枝) ,浅腹壁A・下腹壁A ,S 
任脈 ,陰交 ,下腹部、前正中線上、臍中央の[[下方１寸 ]], ,白線 ,肋間N(前皮枝) ,浅腹壁A・下腹壁A ,C 
任脈 ,神闕 ,上腹部、[[臍の中央 ]], , ,肋間N(前皮枝) ,浅腹壁A・下腹壁A・上腹壁A ,S 
任脈 ,水分 ,上腹部、前正中線上、臍中央の[[上方１寸 ]], ,白線 ,肋間N(前皮枝) ,上腹壁A ,A 
任脈 ,下脘 ,上腹部、前正中線上、臍中央の[[上方２寸 ]], ,白線 ,肋間N(前皮枝) ,上腹壁A ,S 
任脈 ,建里 ,上腹部、前正中線上、臍中央の[[上方３寸 ]], ,白線 ,肋間N(前皮枝) ,上腹壁A ,C 
任脈 ,中脘 ,上腹部、前正中線上、臍中央の[[上方４寸 ]],【胃の募穴】 ,白線 ,肋間N(前皮枝) ,上腹壁A ,S 
任脈 ,上脘 ,上腹部、前正中線上、臍中央の[[上方５寸 ]], ,白線 ,肋間N(前皮枝) ,上腹壁A ,S 
任脈 ,巨闕 ,上腹部、前正中線上、臍中央の[[上方６寸 ]],【心の募穴】 ,白線 ,肋間N(前皮枝) ,上腹壁A ,A 
任脈 ,鳩尾 ,上腹部、前正中線上、[[胸骨体下端の下方１寸 ]],【任脈の絡穴】 ,白線 ,肋間N(前皮枝) ,上腹壁A ,B 
任脈 ,中庭 ,前胸部、前正中線上、[[胸骨体下端]]の中点 , , ,肋間N(前皮枝) ,内胸Aの技 ,C 
任脈 ,膻中 ,前胸部、前正中線上、[[第４肋間]]と同じ高さ ,【心包の募穴】 【八会穴の気会】 , ,肋間N(前皮枝) ,内胸Aの技 ,S 
任脈 ,玉堂 ,前胸部、前正中線上、[[第３肋間]]と同じ高さ , , ,肋間N(前皮枝) ,内胸Aの技 ,C 
任脈 ,紫宮 ,前胸部、前正中線上、[[第２肋間]]と同じ高さ , , ,肋間N(前皮枝) ,内胸Aの枝 ,C 
