1.督脈 ,,,,,,,
経絡, 経穴,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
足の陽明胃経 ,豊隆 ,下腿前外側、[[前脛骨筋の外縁]]、[[外果尖の上方８寸 ]],【胃経の絡穴】 ,前脛骨筋・長指伸筋<深腓骨N> ,外側腓腹皮N ,前脛骨A ,S 
足の陽明胃経 ,解渓 ,足関節前面、[[足関節前面中央]]の陥凹部、[[長母指伸筋腱と長指伸筋腱の間 ]],【胃経の経火穴】 ,長母指伸筋腱/長指伸筋腱<深腓骨N> ,浅腓骨N ,前脛骨A ,S 
足の陽明胃経 ,衝陽 ,足背、第２中足骨底部と[[中間楔状骨]]の間、[[足背動脈拍動部 ]],【胃の原穴】 ,長指伸筋腱・短母指伸筋腱<深腓骨N> ,浅腓骨N ,足背A ,A 
足の陽明胃経 ,陥谷 ,足背、[[第２・第３中足骨間]]、[[第２中足指節関節の近位]]陥凹部 ,【胃経の兪木穴】 ,短指伸筋腱<深腓骨N>/第2背側骨間筋腱<外側足底N> ,浅腓骨N ,第2背側中足A ,B 
足の陽明胃経 ,内庭 ,足背、[[第２・第３指間]]、[[みずかき]]の後縁、赤白肉際 ,【胃経の滎水穴】 ,短指伸筋腱<深腓骨N>/第2背側骨間筋腱<外側足底N> ,浅腓骨N ,背側指A ,S 
足の陽明胃経 ,厲兌 ,足の[[第２指]]、末節骨[[外側]]、爪甲角の近位外方１分(指寸)、爪甲外側縁の垂線と爪甲基底部の水平線の交点 ,【胃経の井金穴】 , ,浅腓骨N ,背側指A ,A 
6.足の太陰脾経 ,,,,,,,
経絡,経穴 ,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
足の太陰脾経 ,隠白 ,足の[[第１指]]、末節骨[[内側]]、爪甲角の近位内方１分指寸、爪甲内側縁の垂線と爪甲基底部の水平線の交点 ,【脾経の井木穴】 , ,浅腓骨N ,背側指A ,A 
足の太陰脾経 ,大都 ,足の第１指、[[第１中足指節関節内側の遠位]]陥凹部、赤白肉際 ,【脾経の滎火穴】 , ,浅腓骨N ,背側指A ,A 
足の太陰脾経 ,太白 ,足内側、[[第１中足指節関節内側の近位]]陥凹部、赤白肉際 ,【脾の原穴】 【脾経の兪土穴】 ,母指外転筋腱<内側足底N> ,浅腓骨N ,内側足底A浅枝 ,S 
足の太陰脾経 ,公孫 ,足内側、[[第１中足骨底内側の遠位]]陥凹部、赤白肉際 ,【脾経の絡穴】 【八脈交会穴】 ,母指外転筋腱・短母指屈筋(内側頭)<内側足底N> ,伏在N ,内側足根A ,S 
足の太陰脾経 ,商丘 ,足内側、内果の前下方、[[舟状骨粗面と内果尖の中央]]陥凹部 ,【脾経の経金穴】 , ,伏在N ,前内果A ,A 
足の太陰脾経 ,三陰交 ,下腿内側脛側、[[脛骨内縁の後際、内果尖の上方３寸 ]], ,後脛骨筋・長指屈筋<脛骨N> ,伏在N ,後脛骨A ,S 
足の太陰脾経 ,漏谷 ,下腿内側脛側、[[脛骨内縁の後際、内果尖の上方６寸 ]], ,後脛骨筋・長指屈筋<脛骨N> ,伏在N ,後脛骨A ,C 
足の太陰脾経 ,地機 ,下腿内側脛側、[[脛骨内縁の後際、陰陵泉の下方３寸 ]],【脾経の郄穴】 ,ヒラメ筋・長指屈筋<脛骨N> ,伏在N ,後脛骨A ,A 
足の太陰脾経 ,陰陵泉 ,下腿内側脛側、[[脛骨内側顆下縁と脛骨内縁が接する陥凹部 ]],【脾経の合水穴】 ,腓腹筋・半腱様筋腱<脛骨N> ,伏在N ,内側下膝A・下行膝A(伏在枝) ,S 
足の太陰脾経 ,血海 ,大腿前内側、[[内側広筋]]隆起部、膝蓋骨底内端の[[上方２寸 ]], ,内側広筋<大腿N> ,大腿N(前皮枝) ,下行膝A ,S 
足の太陰脾経 ,箕門 ,大腿内側、膝蓋骨底内端と衝門を結ぶ線上、衝門から３分の１、[[縫工筋と長内転筋の間]]、[[大腿動脈拍動部 ]], ,縫工筋<大腿N>/長内転筋<閉鎖N> ,大腿N(前皮枝) ,大腿A ,A 
足の太陰脾経 ,衝門 ,鼡径部、[[鼡径溝]]、[[大腿動脈拍動部の外方 ]], ,腸腰筋<腰N叢・大腿Nの枝> ,腸骨下腹N・腸骨鼡径N・陰部大腿A ,大腿A ,C 
足の太陰脾経 ,府舎 ,下腹部、臍中央の[[下方４寸３分]]、[[前正中線の外方４寸 ]], ,外腹斜筋・内腹斜筋<肋間N・腸骨下腹N・腸骨鼡径N> ,肋間N(前皮枝・外側皮枝)・腸骨下腹N ,浅腹壁A・下腹壁A ,C 
足の太陰脾経 ,腹結 ,下腹部、臍中央の[[下方１寸３分]]、[[前正中線の外方４寸 ]], ,外腹斜筋・内腹斜筋<肋間N・腸骨下腹N・腸骨鼡径N> ,肋間N(前皮枝・外側皮枝)・腸骨下腹N ,浅腹壁A・下腹壁A ,C 
足の太陰脾経 ,大横 ,上腹部、[[臍中央の外方４寸 ]], ,外腹斜筋・内腹斜筋<肋間N・腸骨下腹N・腸骨鼡径N> ,肋間N(前皮枝・外側皮枝) ,浅腹壁A・下腹壁A・上腹壁A ,A 
足の太陰脾経 ,腹哀 ,上腹部、臍中央の[[上方３寸]]、[[前正中線の外方４寸 ]], ,外腹斜筋・内腹斜筋<肋間N・腸骨下腹N・腸骨鼡径N> ,肋間N(前皮枝・外側皮枝) ,上腹壁A ,C 
足の太陰脾経 ,食竇 ,前胸部、[[第５肋間]]、前正中線の[[外方６寸 ]], ,大胸筋<内側・外側胸筋N> ,肋間N(外側皮枝) ,胸肩峰A・外側胸A・肋間A ,C 
足の太陰脾経 ,天渓 ,前胸部、[[第４肋間]]、前正中線の[[外方６寸 ]], ,大胸筋<内側・外側胸筋N> ,肋間N(外側皮枝) ,胸肩峰A・外側胸A・肋間A ,C 
足の太陰脾経 ,胸郷 ,前胸部、[[第３肋間]]、前正中線の[[外方６寸 ]], ,大胸筋・小胸筋<内側・外側胸筋N> ,肋間N(外側皮枝) ,胸肩峰A・外側胸A・肋間A ,C 
足の太陰脾経 ,周栄 ,前胸部、[[第２肋間]]、前正中線の[[外方６寸 ]], ,大胸筋・小胸筋<内側・外側胸筋N> ,肋間N(外側皮枝) ,胸肩峰A・外側胸A・肋間A ,C 
足の太陰脾経 ,大包 ,側胸部、[[第６肋間]]、[[中腋窩線上 ]],【脾の大絡の絡穴】 ,前鋸筋<長胸N>/肋間筋<肋間N> ,肋間N(外側皮枝) ,胸背A/肋間A ,B 
7.手の少陰心経 ,,,,,,,
経絡,経穴 ,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
手の少陰心経 ,極泉 ,腋窩、腋窩中央、[[腋窩動脈拍動部 ]], , ,肋間N(外側皮枝)・内側上腕皮N ,腋窩A ,B 
手の少陰心経 ,青霊 ,上腕内側面、[[上腕二頭筋の内側縁]]、肘窩横紋の[[上方３寸 ]], ,上腕二頭筋・上腕筋(筋皮N) ,内側上腕皮N ,上腕A ,C 
手の少陰心経 ,少海 ,肘前内側、[[上腕骨内側上顆の前縁]]、肘窩横紋と同じ高さ ,【心経の合水穴】 ,円回内筋・焼側手根屈筋・長掌筋<正中N>/尺側手根屈筋<尺骨N> ,内側前腕皮N ,尺側反回A(尺骨Aの技)/下尺側側副A(上腕Aの技) ,A 
手の少陰心経 ,霊道 ,前腕前内側、[[尺側手根屈筋腱の橈側縁]]、手関節掌側横紋の[[上方１寸５分 ]],【心経の経金穴】 ,尺側手根屈筋腱・深指屈筋<尺骨N>/浅指屈筋<正中N> ,内側前腕皮N・尺骨N(掌皮枝) ,尺骨A ,B 
手の少陰心経 ,通里 ,前腕前内側、[[尺側手根屈筋腱の橈側縁]]、手関節掌側横紋の[[上方１寸 ]],【心経の絡穴】 ,尺側手根屈筋腱・深指屈筋<尺骨N>/浅指屈筋<正中N> ,内側前腕皮N・尺骨N(掌皮枝) ,尺骨A ,S 
手の少陰心経 ,陰郄 ,前腕前内側、[[尺側手根屈筋腱の橈側縁]]、手関節掌側横紋の[[上方５分 ]],【心経の郄穴】 ,尺側手根屈筋腱・深指屈筋<尺骨N>/浅指屈筋<正中N> ,内側前腕皮N・尺骨N(掌皮枝) ,尺骨A ,B 
手の少陰心経 ,神門 ,手関節前内側、[[尺側手根屈筋腱の橈側縁]]、[[手関節掌側横紋上 ]],【心の原穴】 【心経の兪土穴】 ,尺側手根屈筋腱・深指屈筋<尺骨N>/浅指屈筋<正中N> ,内側前腕皮N・尺骨N(掌皮枝) ,尺骨A ,S 
手の少陰心経 ,少府 ,手掌、[[第５中手指節関節の近位]]端と同じ高さ、[[第４・第５中手骨の間 ]],【心経の滎火穴】 ,虫様筋(第4)・掌側骨間筋(第3)<尺骨N> ,尺骨N(総掌側指N) ,総掌側指A ,A 
手の少陰心経 ,少衝 ,小指、末節骨[[橈側]]、爪甲角の近位外方１分(指寸)、爪甲橈側縁の垂線と爪甲基底部の水平線の交点 ,【心経の井木穴】 , ,尺骨N(背側指N) ,背側指A ,A 
8.手の太陽小腸経 ,,,,,,,
経絡,経穴 ,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
手の太陽小腸経,少沢 ,小指、末節骨[[尺側]]、爪甲角の近位内方１分(指寸)、爪甲尺側縁の垂線と爪甲基底部の水平線の交点 ,【小腸経の井金穴】 , ,尺骨N(背側指N) ,背側指A ,S 
手の太陽小腸経,前谷 ,小指、[[第５中手指節関節尺側の遠位]]陥凹部、赤白肉際 ,【小腸経の滎水穴】 , ,尺骨N(背側指N) ,背側指A ,B 
手の太陽小腸経,後渓 ,手背、[[第５中手指節関節尺側の近位]]陥凹部、赤白肉際 ,【小腸経の兪木穴】 【八脈交会穴】 ,小指外転筋<尺骨N> ,尺骨N(背側指N) ,背側指A ,S 
手の太陽小腸経,腕骨 ,手関節後内側、[[第５中手骨底部と三角骨の間]]の陥凹部、赤白肉際 ,【小腸の原穴】 ,小指外転筋<尺骨N> ,尺骨N(背側指N) ,背側指A ,A 
手の太陽小腸経,陽谷 ,手関節後内側、[[三角骨と尺骨茎状突起の間]]の陥凹部 ,【小腸経の経火穴】 ,尺側手根伸筋腱<橈骨N> ,尺骨N(手背枝) ,尺骨A(背側手根枝) ,A 
手の太陽小腸経,養老 ,前腕後内側、[[尺骨頭橈側]]の陥凹部、手関節背側横紋の[[上方１寸 ]],【小腸経の郄穴】 , ,内側前腕皮N ,尺骨A(背側手根枝) ,A 
手の太陽小腸経,支正 ,前腕後内側、[[尺骨内縁と]]尺側手根[[屈筋]]の間、手関節背側横紋の[[上方５寸 ]],【小腸経の絡穴】 ,尺側手根屈筋<尺骨N> ,内側前腕皮N ,後骨間Aの枝 ,B 
手の太陽小腸経,小海 ,肘後内側、[[肘頭と上腕骨内側上顆の間の陥凹部 ]],【小腸経の合土穴】 ,尺側手根屈筋<尺骨N> ,内側前腕皮N ,尺側反回A(尺骨Aの枝)・上尺側側副A(上腕Aの枝) ,B 
手の太陽小腸経,肩貞 ,肩周囲部、肩関節の後下方、[[腋窩横紋後端の上方１寸 ]], ,三角筋・小円筋<腋窩N>/上腕三頭筋(長頭)<橈骨N>/大円筋<肩甲下N> ,上外側上腕皮N ,後上腕回旋A・肩甲回旋A ,A 
手の太陽小腸経,臑兪 ,肩周囲部、[[腋窩横紋後端]]の上方、[[肩甲棘の下方陥凹部 ]], ,三角筋<腋窩N>/棘下筋<肩甲上N> ,鎖骨上N ,後上腕回旋A/肩甲上A ,A 
手の太陽小腸経,天宗 ,肩甲部、[[肩甲棘の中点と肩甲骨下角]]を結んだ線上、肩甲棘から３分の１にある陥凹部 , ,棘下筋<肩甲上N> ,肋間N(外側皮枝)・胸N後枝 ,肩甲回旋A/肩甲上A ,A 
手の太陽小腸経,秉風 ,肩甲部、棘上窩、[[肩甲棘中点の上方 ]], ,僧帽筋<副N・頸N叢の枝>/棘上筋<肩甲上N> ,胸N後枝 ,肩甲上A ,A 
手の太陽小腸経,曲垣 ,肩甲部、[[肩甲棘内端の上方]]陥凹部 , ,僧帽筋<副N・頸N叢の枝>/棘上筋<肩甲上N> ,胸N後枝 ,頸横A・肩甲上A ,C 
手の太陽小腸経,肩外兪 ,上背部、[[第１胸椎棘突起下縁と同じ高さ]]、[[後正中線の外方３寸 ]], ,僧帽筋<副N・頸N叢の枝>/肩甲挙筋<肩甲背N> ,胸N後枝 ,頸横A ,A 
手の太陽小腸経,肩中兪 ,上背部、[[第７頸椎棘突起下縁と同じ高さ]]、[[後正中線の外方２寸 ]], ,僧帽筋<副N・頸N叢の枝>/肩甲挙筋<肩甲背N> ,胸N後枝 ,頸横A ,B 
手の太陽小腸経,天窓 ,前頸部、[[胸鎖乳突筋の後縁]]、[[甲状軟骨]]上縁と同じ高さ , ,広頭筋<顔面N(頭枝)>/胸鎖乳突筋<副N・頸N叢の枝> ,頸横N ,浅頸A ,C 
手の太陽小腸経,天容 ,前頸部、[[下顎角の後方]]、[[胸鎖乳突筋の前方]]陥凹部 , ,胸鎖乳突筋<副N・頸N叢の枝>/顎二腹筋後腹<顔面N(顎二腹筋枝)> ,大耳介N ,後頭A ,A 
手の太陽小腸経,顴髎 ,顔面部、[[外眼角の直下]]、[[頬骨下方の陥凹部 ]], ,小頬骨筋・大類骨筋<顔面N(頬骨枝)> ,上顎N(三叉N第2枝) ,顔面横A・眼窩下A ,A 
手の太陽小腸経,聴宮 ,顔面部、[[耳珠中央]]の前縁と下顎骨関節突起の間の陥凹部 , , ,下顎N(三叉N第3枝) ,浅側頭A ,A 
9.足の太陽膀胱経 ,,,,,,,
 経絡,経穴 ,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
足の太陽膀胱経,睛明 ,顔面部、[[内眼角の内]]上方と眼窩内側壁の間の陥凹部 , ,内側眼臉靱帯/眼輪筋<顏面N(側頭枝・頬骨枝)> ,眼N(三叉N第1枝) ,眼角A ,S 
足の太陽膀胱経,攅竹 ,頭部、[[眉毛内端]]の陥凹部 , ,眼輪筋・前頭筋・皺眉筋<顔面N(頭枝・頬骨枝)> ,眼N(三叉N第1枝) ,滑車上A ,S 
足の太陽膀胱経,眉衝 ,頭部、[[前頭切痕]]の上方、[[前髪際の後方５分 ]], ,前頭筋<顔面N(側頭枝)> ,眼N(三叉N第1枝) ,滑車上A・眼窩上A ,C 
足の太陽膀胱経,曲差 ,頭部、[[前髪際の後方５分]]、前正中線の[[外方１寸５分 ]], ,前頭筋<顔面N(側頭枝)> ,眼N(三叉N第1枝) ,滑車上A・眼窩上A ,C 
足の太陽膀胱経,五処 ,頭部、前髪際の[[後方１寸]]、前正中線の[[外方１寸５分 ]], ,帽状腱膜/<顔面N(側頭枝)> ,眼N(三叉N第1枝) ,眼窩上A ,C 
足の太陽膀胱経,承光 ,頭部、前髪際の[[後方２寸５分]]、前正中線の[[外方１寸５分 ]], ,帽状腱膜 ,眼N(三叉N第1枝) ,眼窩上A・浅側頭Aの技 ,C 
足の太陽膀胱経,通天 ,頭部、前髪際の[[後方４寸]]、前正中線の[[外方１寸５分 ]], ,帽状腱膜 ,眼N(三叉N第1枝) ,眼窩上A・浅側頭Aの技 ,A 
足の太陽膀胱経,絡却 ,頭部、前髪際の[[後方５寸５分]]、後正中線の[[外方１寸５分 ]], ,帽状腱膜 ,大後頭N ,後頭A・浅側頭Aの技 ,C 
足の太陽膀胱経,玉枕 ,頭部、[[外後頭隆起上縁]]と同じ高さ、後正中線の[[外方１寸３分 ]], ,後頭筋<顔面N(後頭枝)> ,大後頭N ,後頭A ,C 
足の太陽膀胱経,天柱 ,後頸部、[[第２頸椎棘突起上縁]]と同じ高さ、僧帽筋外縁の陥凹部 , ,僧帽筋<副N・頸N叢の枝>/頭板状筋・頭半棘筋<脊髄N後技> ,大後頭N ,後頭A ,A 
足の太陽膀胱経,大杼 ,上背部、[[第１胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]],【八会穴の骨会】 ,僧帽筋<副N・頸N叢の枝>/菱形筋<肩甲背N>/脊柱起立筋<脊髄N後枝> ,胸N後技 ,頸横Aの技・肋間A背枝 ,S 
足の太陽膀胱経,風門 ,上背部、[[第２胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]], ,僧帽筋<副N・頸N叢の枝>/菱形筋<肩甲背N>/脊柱起立筋<脊髄N後枝> ,胸N後技 ,頸橫Aの枝・肋間A背枝 ,S 
足の太陽膀胱経,肺兪 ,上背部、[[第３胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]],【肺の背部兪穴】 ,僧帽筋<副N・頸N叢の枝>/菱形筋<肩甲背N>/脊柱起立筋<脊髄N後枝> ,胸N後技 ,頸橫Aの枝・肋間A背枝 ,S 
足の太陽膀胱経,厥陰兪 ,上背部、[[第４胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]],【心包の背部兪穴】 ,僧帽筋<副N・頸N叢の枝>/菱形筋<肩甲背N>/脊柱起立筋<脊髄N後枝> ,胸N後技 ,頸橫Aの枝・肋間A背枝 ,B 
足の太陽膀胱経,心兪 ,上背部、[[第５胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]],【心の背部兪穴】 ,僧帽筋<副N・頸N叢の枝>/菱形筋<肩甲背N>/脊柱起立筋<脊髄N後枝> ,胸N後技 ,頸横Aの枝・肋間A背枝 ,S 
足の太陽膀胱経,督兪 ,上背部、[[第６胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]], ,僧帽筋<副N・頸N叢の枝>/脊柱起立筋<脊髄N後枝> ,胸N後技 ,頸横Aの枝・肋間A背枝 ,C 
足の太陽膀胱経,膈兪 ,上背部、[[第７胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]],【八会穴の血会】 ,僧帽筋<副N・頸N叢の枝>/脊柱起立筋<脊髄N後枝> ,胸N後枝 ,肋間A背枝 ,S 
足の太陽膀胱経,肝兪 ,上背部、[[第９胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]],【肝の背部兪穴】 ,僧帽筋<副N・頸N叢の枝>/広背筋<胸背N>/脊柱起立筋<脊髄N後枝> ,胸N後技 ,肋間A背枝 ,S 
足の太陽膀胱経,胆兪 ,上背部、[[第１０胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]],【胆の背部兪穴】 ,腰背腱膜/広背筋<胸背N>/脊柱起立筋<脊髄N後枝> ,胸N後技 ,肋間A背枝 ,A 
足の太陽膀胱経,脾兪 ,上背部、[[第１１胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]],【脾の背部兪穴】 ,腰背腱膜/広背筋<胸背N>/脊柱起立筋<脊髄N後枝> ,胸N後技 ,肋間A背枝 ,S 
足の太陽膀胱経,胃兪 ,上背部、[[第１２胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]],【胃の背部兪穴】 ,腰背腱膜/広背筋<胸背N>/脊柱起立筋<脊髄N後枝> ,胸N後技 ,肋間A背枝 ,S 
足の太陽膀胱経,三焦兪 ,腰部、[[第１腰椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]],【三焦の背部兪穴】 ,腰背腱膜/脊柱起立筋<脊髄N後枝> ,腰N後枝 ,腰A背枝 ,A 
足の太陽膀胱経,腎兪 ,腰部、[[第２腰椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]],【腎の背部兪穴】 ,腰背腱膜/脊柱起立筋<脊髄N後枝> ,腰N後枝 ,腰A背枝 ,S 
足の太陽膀胱経,気海兪 ,腰部、[[第３腰椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]], ,腰背腱膜/脊柱起立筋<脊髄N後枝> ,腰N後枝 ,腰A背枝 ,C 
足の太陽膀胱経,大腸兪 ,腰部、[[第４腰椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]],【大腸の背部兪穴】 ,腰背腱膜/脊柱起立筋<脊髄N後枝> ,腰N後枝 ,腰A背枝 ,S 
足の太陽膀胱経,関元兪 ,腰部、[[第５腰椎棘突起下縁]]と同じ高さ、後正中線の[[外方１寸５分 ]], ,腰背腱膜/仙棘筋<脊髄N後枝> ,腰N後枝 ,腰A背枝 ,C 
足の太陽膀胱経,小腸兪 ,仙骨部、[[第１後仙骨孔]]と同じ高さ、正中仙骨稜の[[外方１寸５分 ]],【小腸の背部兪穴】 ,腰背腱膜/仙棘筋<脊髄N後枝> ,中殿皮N ,外側仙骨A ,B 
足の太陽膀胱経,膀胱兪 ,仙骨部、[[第２後仙骨孔]]と同じ高さ、正中仙骨稜の[[外方１寸５分 ]],【膀胱の背部兪穴】 ,腰背腱膜/大殿筋<下殿N>/仙棘筋<脊髄N後枝> ,中殿皮N ,外側仙骨A ,A 
足の太陽膀胱経,中膂兪 ,仙骨部、[[第３後仙骨孔]]と同じ高さ、正中仙骨稜の[[外方１寸５分 ]], ,大殿筋<下殿N> ,中殿皮N ,外側仙骨A ,C 
足の太陽膀胱経,白環兪 ,仙骨部、[[第４後仙骨孔]]と同じ高さ、正中仙骨稜の[[外方１寸５分 ]], ,大殿筋<下殿N> ,中殿皮N ,外側仙骨A ,C 
足の太陽膀胱経,上髎 ,仙骨部、[[第１後仙骨孔 ]], ,腰背腱膜/仙棘筋<脊随N後枝> ,中殿皮N ,外側仙骨A ,A 
足の太陽膀胱経,次髎 ,仙骨部、[[第２後仙骨孔 ]], ,腰背腱膜/仙棘筋<脊随N後枝> ,中殿皮N ,外側仙骨A ,S 
足の太陽膀胱経,中髎 ,仙骨部、[[第３後仙骨孔 ]], ,腰背腱膜/仙棘筋<脊随N後枝> ,中殿皮N ,外側仙骨A ,A 
足の太陽膀胱経,下髎 ,仙骨部、[[第４後仙骨孔 ]], ,腰背腱膜/仙棘筋<脊随N後枝> ,中殿皮N ,外側仙骨A ,A 
足の太陽膀胱経,会陽 ,殿部、[[尾骨下端外方５分 ]], ,大殿筋<下殿N> ,会陰N(陰部Nの枝) ,下直腸A ,C 
足の太陽膀胱経,承扶 ,殿部、[[殿溝の中点 ]], ,大殿筋<下殿N>/大腿二頭筋長頭<脛骨N> ,後大腿皮N ,下殿A ,A 
足の太陽膀胱経,殷門 ,大腿部後面、大腿二頭筋と半腱様筋の間、[[殿溝の下方６寸 ]], ,半腱様筋・大腿二頭筋長頭<脛骨N> ,後大腿皮N ,貫通A ,B 
足の太陽膀胱経,浮郄 ,膝後面、[[大腿二頭筋腱の内縁]]、膝窩横紋の[[上方１寸 ]], ,大腿二頭筋長頭<脛骨N>/大腿二頭筋短頭<総腓骨N> ,後大腿皮N ,貫通A ,C 
足の太陽膀胱経,委陽 ,膝後外側、[[大腿二頭筋腱の内縁]]、[[膝窩横紋上 ]],【三焦の下合穴】 ,大腿二頭筋長頭・腓腹筋(外側頭)<脛骨N>/大腿二頭筋短頭<腓骨N> ,後大腿皮N ,外側上膝A ,B 
足の太陽膀胱経,委中 ,膝後面、[[膝窩横紋の中点 ]],【膀胱の合土穴】 【四総穴/腰背】 【膀胱の下合穴】 , ,後大腿皮N ,膝窩A ,S 
足の太陽膀胱経,附分 ,上背部、[[第２胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方３寸 ]], ,僧帽筋<副N・頸N叢の枝)/菱形筋<肩甲背N>/腸肋筋腱<脊髄N後枝> ,胸N後技 ,頸横A ,C 
足の太陽膀胱経,魄戸 ,上背部、[[第３胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方３寸 ]], ,僧帽筋<副N・頸N叢の枝)/菱形筋<肩甲背N>/腸肋筋腱<脊髄N後枝> ,胸N後技 ,頸横A ,C 
足の太陽膀胱経,膏肓 ,上背部、[[第４胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方３寸 ]], ,僧帽筋<副N・頸N叢の枝)/菱形筋<肩甲背N>/腸肋筋腱<脊髄N後枝> ,胸N後技 ,頸橫A ,A 
足の太陽膀胱経,神堂 ,上背部、[[第５胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方３寸 ]], ,僧帽筋<副N・頸N叢の枝)/菱形筋<肩甲背N>/腸肋筋腱<脊髄N後枝> ,胸N後技 ,頸橫A ,C 
足の太陽膀胱経,譩譆 ,上背部、[[第６胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方３寸 ]], ,菱形筋<肩甲背N>/腸肋筋腱<脊髄N後枝> ,胸N後枝 ,頸横A深枝 ,C 
足の太陽膀胱経,膈関 ,上背部、[[第７胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方３寸 ]], ,広背筋<胸背N>/腸肋筋腱<脊髄N後枝> ,胸N後枝 ,肋間A背枝 ,C 
足の太陽膀胱経,魂門 ,上背部、[[第９胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方３寸 ]], ,広背筋<胸背N>/腸肋筋腱<脊髄N後枝> ,胸N後枝 ,肋間A背枝 ,C 
足の太陽膀胱経,陽綱 ,上背部、[[第１０胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方３寸 ]], ,広背筋<胸背N>/腸肋筋腱<脊髄N後枝> ,胸N後枝 ,肋間A背枝 ,C 
足の太陽膀胱経,意舎 ,上背部、[[第１１胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方３寸 ]], ,広背筋<胸背N>/腸肋筋腱<脊髄N後枝> ,胸N後枝 ,肋間A背枝 ,C 
足の太陽膀胱経,胃倉 ,上背部、[[第１２胸椎棘突起下縁]]と同じ高さ、後正中線の[[外方３寸 ]], ,広背筋<胸背N>/腸肋筋腱<脊髄N後枝> ,胸N後枝 ,肋間A背枝 ,C 
足の太陽膀胱経,肓門 ,腰部、[[第１腰椎棘突起下縁]]と同じ高さ、後正中線の[[外方３寸 ]], ,広背筋<胸背N>/腸肋筋腱<脊髄N後枝> ,腰N後枝 ,腰A背枝 ,C 
足の太陽膀胱経,志室 ,腰部、[[第２腰椎棘突起下縁]]と同じ高さ、後正中線の[[外方３寸 ]], ,広背筋<胸背N>/腸肋筋腱<脊髄N後枝> ,腰N後枝 ,腰A背枝 ,A 
足の太陽膀胱経,胞肓 ,殿部、[[第２後仙骨孔]]と同じ高さ、正中仙骨稜の[[外方３寸 ]], ,大殿筋<下殿N>/中殿筋<上殿N> ,中殿皮N・上殿皮N ,上殿A・下殿A ,C 
足の太陽膀胱経,秩辺 ,殿部、[[第４後仙骨孔]]と同じ高さ、正中仙骨稜の[[外方３寸 ]], ,大殿筋<下殿N>/中殿筋<上殿N> ,中殿皮N・上殿皮N ,上殿A・下殿A ,A 
足の太陽膀胱経,合陽 ,下腿後面、[[腓腹筋]]外側頭と内側頭[[の間]]、膝窩横紋の[[下方２寸 ]], ,腓腹筋<脛骨N> ,内側腓腹皮N ,後脛骨A ,C 
足の太陽膀胱経,承筋 ,下腿後面、[[腓腹筋]]の両筋腹[[の間]]、膝窩横紋の[[下方５寸 ]], ,腓腹筋<脛骨N> ,内側腓腹皮N ,後脛骨A ,B 
足の太陽膀胱経,承山 ,下腿後面、[[腓腹筋筋腹とアキレス腱の移行部 ]], ,腓腹筋<脛骨N>/アキレス腱 ,内側腓腹皮N ,後脛骨A ,S 
足の太陽膀胱経,飛揚 ,下腿後外側、[[腓腹筋外側頭下縁とアキレス腱の間]]、崑崙の[[上方７寸 ]],【膀胱経の絡穴】 ,腓腹筋・ヒラメ筋<脛骨N>/アキレス腱 ,外側腓腹皮N ,腓骨A ,A 
